MG05.BHZ.C1.--,-51.6784,-72.5032,99.00,0.18720071,-0.59384046,-0.78250202,89
LR04.BHZ.C1.--,-39.8802,-73.4258,91.10,0.21950756,-0.73753737,-0.63863531,176
MG01.BHZ.C1.--,-54.9322,-67.6300,57.00,0.21965221,-0.53370920,-0.81664398,960
VA03.BHZ.C1.--,-32.7637,-70.5508,1053.00,0.28054956,-0.79448547,-0.53859519,3373
CO05.BHZ.C1.--,-29.9186,-71.2384,101.00,0.27923454,-0.82205206,-0.49624438,427
CO02.BHZ.C1.--,-31.2037,-71.0003,1190.00,0.27896640,-0.81019102,-0.51552716,962
AC04.BHZ.C1.--,-28.2046,-71.0739,249.00,0.28626579,-0.83487275,-0.47014827,454
AP01.BHZ.C1.--,-18.3708,-70.3419,31.00,0.31947500,-0.89431927,-0.31325511,1137
LL07.BHZ.C1.--,-42.8323,-73.4779,53.50,0.20920226,-0.70525369,-0.67738589,80
VA04.BHZ.C1.--,-33.6427,-78.8299,117.00,0.16160827,-0.81842273,-0.55142271,54
FUORN.BHZ.CH.--,46.6202,10.2635,2333.00,0.67824582,0.12281211,0.72449969,282
SENIN.BHZ.CH.--,46.3633,7.2993,2035.00,0.68690519,0.08798605,0.72140122,194
YUH2.BHZ.CI.--,32.6475,-115.9223,184.00,-0.36880365,-0.75877042,0.53689042,353
GRA.BHZ.CI.--,36.9961,-117.3662,689.00,-0.36802663,-0.71102135,0.59917029,3220
SNCC.BHZ.CI.--,33.2479,-119.5244,275.00,-0.41295917,-0.72917904,0.54567632,9
BCW.BHZ.CI.--,34.9401,-119.4131,1101.00,-0.40347038,-0.71566105,0.57012359,544
PMD.BHZ.CI.--,33.6478,-116.3777,296.00,-0.37061327,-0.74732611,0.55149749,265
LDF.BHZ.CI.--,35.1307,-115.1842,1239.00,-0.34879028,-0.74174930,0.57284668,1885
RAG.BHZ.CI.--,34.6829,-116.1514,722.00,-0.36321923,-0.73974256,0.56643864,335
SMR.BHZ.CI.--,35.3770,-120.6125,341.00,-0.41614059,-0.70330591,0.57635736,124
BLY.BHZ.CI.--,33.7503,-114.5238,201.00,-0.34583320,-0.75802886,0.55298431,266
BAR.BHZ.CI.--,32.6801,-116.6722,529.00,-0.37856597,-0.75360698,0.53736797,308
GLA.BHZ.CI.--,33.0515,-114.8271,610.00,-0.35263952,-0.76223620,0.54280876,1810
GSC.BHZ.CI.--,35.3018,-116.8057,1000.00,-0.36886934,-0.73005543,0.57528643,587
PASC.BHZ.CI.10,34.1714,-118.1852,341.00,-0.39161073,-0.73080323,0.55907752,253
ISA.BHZ.CI.--,35.6628,-118.4740,873.00,-0.38823511,-0.71581366,0.58041736,152
ELS2.BHZ.CI.--,33.6491,-117.4260,841.70,-0.38421902,-0.74040983,0.55151521,242
CCA.BHZ.CI.--,35.1525,-118.0165,710.00,-0.38491407,-0.72341573,0.57315865,820
FCC.BHZ.CN.--,58.7616,-94.0866,39.00,-0.03713998,-0.51983421,0.85345944,205
RUBB.HHZ.CN.--,54.3262,-130.2523,12.00,-0.37849516,-0.44706015,0.81048050,474
DRLN.BHZ.CN.--,49.2560,-57.5042,238.00,0.35200102,-0.55262031,0.75545091,35
OZB.BHZ.CN.--,48.9610,-125.4976,614.00,-0.38271292,-0.53659127,0.75206424,64
GRNB.HHZ.CN.--,53.8468,-129.9575,461.00,-0.38054087,-0.45419474,0.80554068,58
DIB.HHZ.CN.--,53.2025,-132.4767,68.00,-0.40624038,-0.44369569,0.79881343,46
PAPH.HHZ.CN.--,18.5225,-72.2993,218.00,0.28849002,-0.90392055,0.31575488,91
BBB.BHZ.CN.--,52.1847,-128.1133,14.00,-0.38002025,-0.48442616,0.78798217,49
SADO.BHZ.CN.--,44.7694,-79.1417,243.00,0.13418700,-0.69956482,0.70185676,132
HAL.HHZ.CN.--,44.6378,-63.5912,65.00,0.31753578,-0.63942507,0.70021898,67
DLBC.BHZ.CN.--,58.4372,-130.0272,978.00,-0.33829614,-0.40277716,0.85048591,539
SCHQ.BHZ.CN.--,54.8324,-66.8332,497.50,0.22761343,-0.53191295,0.81563518,97
CLRS.HHZ.CN.--,48.8203,-124.1309,174.00,-0.37084176,-0.54709521,0.75044202,77
HOLB.HHZ.CN.--,50.6402,-128.1331,547.00,-0.39318319,-0.50084895,0.77107542,88
TRQ.HHZ.CN.--,46.2176,-74.5513,860.00,0.18495801,-0.66926339,0.71963675,160
INK.BHZ.CN.--,68.3065,-133.5254,44.00,-0.25604868,-0.26957956,0.92831349,593
EUNU.BHZ.CN.--,80.0532,-86.4158,623.00,0.01086939,-0.17352753,0.98476904,262
GBN.HHZ.CN.--,45.4077,-61.5128,38.00,0.33599860,-0.61916227,0.70974857,115
EDM.HHZ.CN.--,53.2217,-113.3500,730.00,-0.23832757,-0.55206380,0.79901535,678
ULM.BHZ.CN.--,50.2503,-95.8750,250.90,-0.06571240,-0.63861080,0.76671906,190
RES.BHZ.CN.--,74.6892,-94.8962,19.00,-0.02267911,-0.26474671,0.96405126,273
HYT.HHZ.CN.--,60.8250,-137.5038,1416.00,-0.36127906,-0.33100719,0.87172913,531
LMN.HHZ.CN.--,45.8544,-64.8063,365.00,0.29750742,-0.63241595,0.71521983,53
JSC.HHZ.CO.00,34.2818,-81.2597,103.00,0.12582617,-0.81842348,0.56066994,2850
BIRD.HHZ.CO.00,34.6450,-80.4615,132.00,0.13662441,-0.81307859,0.56589484,323
HAW.HHZ.CO.00,33.3600,-81.6100,-173.00,0.12211668,-0.82797243,0.54731085,170
PAULI.HHZ.CO.00,34.8210,-81.8144,179.00,0.11714182,-0.81435766,0.56841833,664
HODGE.HHZ.CO.00,34.2315,-82.2586,151.00,0.11160482,-0.82097894,0.55994459,1188
CASEE.HHZ.CO.00,34.9930,-82.9317,385.00,0.10103015,-0.81479362,0.57088025,897
MTDJ.BHZ.CU.00,18.2261,-77.5345,925.00,0.20515628,-0.92804744,0.31086789,44
GTBY.BHZ.CU.00,19.9268,-75.1108,79.20,0.24175492,-0.90927151,0.33879179,27
GRTK.BHZ.CU.00,21.5115,-71.1327,12.00,0.30112367,-0.88115095,0.36455115,14
SDDR.BHZ.CU.00,18.9821,-71.2878,589.00,0.30358414,-0.89627224,0.32331522,109
GRGR.BHZ.CU.00,12.1324,-61.6540,195.00,0.46432763,-0.86069387,0.20882028,38
TGUH.BHZ.CU.00,14.0570,-87.2730,1151.00,0.04617070,-0.96933929,0.24134955,1068
BBGH.BHZ.CU.00,13.1434,-59.5588,180.00,0.49355257,-0.83985572,0.22593856,125
BCIP.BHZ.CU.00,9.1665,-79.8373,61.00,0.17422035,-0.97190590,0.15825991,449
SOR.HHZ.CW.00,22.7932,-83.0086,100.00,0.11232813,-0.91597581,0.38518919,49
CCCC.HHZ.CW.00,21.1934,-77.4173,89.60,0.20329257,-0.91077036,0.35940156,45
PB04.BHZ.CX.--,-22.3337,-70.1492,1520.00,0.31440414,-0.87086670,-0.37781110,640
PB16.BHZ.CX.--,-18.3351,-69.5077,4480.00,0.33252991,-0.88975474,-0.31266653,125
PB12.BHZ.CX.--,-18.6141,-70.3281,908.00,0.31924239,-0.89298865,-0.31726261,473
PB18.BHZ.CX.--,-17.5895,-69.4800,4155.00,0.33435004,-0.89330908,-0.30034805,1358
PB14.BHZ.CX.--,-24.6260,-70.4038,2630.00,0.30524003,-0.85739306,-0.41437381,726
PATCX.BHZ.CX.--,-20.8207,-70.1529,832.00,0.31760953,-0.87992319,-0.35335444,714
PB02.BHZ.CX.--,-21.3197,-69.8960,1015.00,0.32048631,-0.87558201,-0.36144802,1886
PB08.BHZ.CX.--,-20.1411,-69.1534,3060.00,0.33437069,-0.87808505,-0.34229066,1748
PB09.BHZ.CX.--,-21.7964,-69.2419,1530.00,0.32938939,-0.86903851,-0.36915404,1590
PB01.BHZ.CX.--,-21.0432,-69.4874,900.00,0.32732711,-0.87488955,-0.35696671,1763
PB11.BHZ.CX.--,-19.7610,-69.6558,1400.00,0.32743648,-0.88308253,-0.33608123,1107
