
STA            LAT          LON     ELEV STAT     ONDATE    OFFDATE STANAME
DGN02     -6.32430     70.99950     .000 ss      1999364    2001265 Diego Garcia
DGN03     -6.34660     70.99070     .000 ss      1999364    2001265 Diego Garcia
DGNAR     -6.34210     71.01430     .000 ar      1999364    2001265 Diego Garcia
DGS04     -7.64530     72.47440     .000 ss      1999364    2001265 Diego Garcia
DGS05     -7.64490     72.49550     .000 ss      1999364    2001265 Diego Garcia
DGS06     -7.62740     72.48370     .000 ss      1999364    2001265 Diego Garcia
DGSAR     -7.64530     72.47440     .000 ar      1999364    2001265 Diego Garcia
DLBC      58.43696   -130.03051     .980 ss      2006340         -1 DEASE LAKE, BRITISH COLUMBIA, CANADA
DLBC      58.43720   -130.02720     .978 ss      1994269    2006339 Dease Lake, Canada
DLI01     35.87415   -106.33249    2.316 ss      1998274         -1 DOE Prototype Infrasound Array, Los Alamos, USA
DLI02     35.86363   -106.32543    2.316 ss      1998274         -1 DOE Prototype Infrasound Array, Los Alamos, USA
DLI03     35.86554   -106.34008    2.316 ss      1998274         -1 DOE Prototype Infrasound Array, Los Alamos, USA
DLI04     35.86758   -106.33417    2.316 ss      1998274         -1 DOE Prototype Infrasound Array, Los Alamos, USA
DLIAR     35.86758   -106.33417    2.316 ar      1998274         -1 DOE Prototype Infrasound Array, Los Alamos, USA
DLIWH     35.86758   -106.33417    2.316 ss      1998274         -1 DOE Prototype Infrasound Array, Los Alamos, USA
DZM      -22.06800    166.44690     .880 ss      1985001         -1 MONT DZUMAC
EIL       29.66986     34.95117     .210 ss      1996206    2005311 Eilat, Israel
EIL       29.67250     34.95190     .217 ss      2005312         -1 EILATH, ISRAEL
EKA       55.33390     -3.19229     .308 ar      2008329    2009174 ESKDALEMUIR ARRAY EKA
EKA       55.33320     -3.15880     .353 ar      2009175         -1 ESKDALEMUIR ARRAY EKA
EKA       55.33320     -3.15880     .353 ar      1962160    2008328 Eskdalemuir Array, Scotland
EKB       55.33390     -3.19229     .308 ss      2009175         -1 ESKDALEMUIR BROADBAND ELEMENT EKB
EKB       55.33390     -3.19229     .308 ss      2008329    2009174 ESKDALEMUIR BROADBAND ELEMENT EKB
EKB1      55.30930     -3.17702     .275 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB1
EKB1      55.30930     -3.17702     .275 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB1
EKB1      55.30931     -3.17527     .275 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB10     55.37690     -3.12917     .328 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB10
EKB10     55.37643     -3.12834     .327 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB10     55.37690     -3.12917     .328 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB10
EKB2      55.31680     -3.17175     .314 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB2
EKB2      55.31680     -3.17175     .314 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB2
EKB2      55.31676     -3.17006     .313 ss      1962160    2008328 Eskdalemuir Array, Scotland
EKB3      55.32490     -3.16822     .307 ss      2009175         -1 ESKDALEMUIR ARRAY ELEMENT EKB3
EKB3      55.32490     -3.16822     .307 ss      2008329    2009174 ESKDALEMUIR ARRAY ELEMENT EKB3
